envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	27000	99000	99000	-21000	-21000	-21000	
8	48000	96000	96000	-24000	96000	-24000	
9	93000	213000	93000	-27000	213000	-27000	
10	90000	210000	90000	-30000	210000	-30000	
11	135000	207000	87000	-33000	327000	87000	
12	132000	204000	84000	-36000	324000	84000	
13	129000	201000	81000	-39000	321000	81000	
14	126000	198000	78000	-42000	318000	78000	
15	171000	195000	75000	75000	435000	75000	
16	192000	192000	72000	72000	552000	72000	
17	189000	189000	69000	69000	549000	69000	
18	210000	186000	66000	66000	546000	186000	
19	231000	183000	183000	63000	543000	183000	
20	276000	180000	3e+05	60000	540000	3e+05	
21	273000	177000	297000	57000	537000	297000	
22	270000	174000	294000	54000	534000	294000	
23	291000	291000	291000	51000	531000	291000	
24	288000	288000	288000	48000	528000	288000	
25	285000	285000	285000	45000	525000	285000	
26	306000	402000	282000	42000	522000	282000	
27	303000	399000	279000	39000	519000	279000	
28	324000	396000	396000	36000	516000	276000	
29	321000	393000	393000	33000	513000	273000	
30	366000	510000	390000	150000	510000	270000	
31	363000	507000	387000	147000	507000	267000	
32	384000	504000	384000	144000	504000	384000	
33	381000	501000	381000	141000	501000	381000	
34	402000	498000	378000	258000	498000	378000	
35	423000	495000	495000	255000	495000	375000	
36	444000	492000	492000	252000	492000	492000	
37	465000	489000	489000	249000	489000	609000	
38	462000	486000	486000	246000	486000	606000	
39	483000	603000	483000	243000	483000	603000	
40	480000	6e+05	480000	240000	480000	6e+05	
41	477000	597000	477000	237000	477000	597000	
42	474000	594000	474000	234000	474000	594000	
43	471000	591000	471000	231000	471000	591000	
44	492000	588000	468000	348000	468000	588000	
45	513000	585000	585000	345000	465000	585000	
46	534000	582000	702000	342000	462000	582000	
47	555000	579000	699000	339000	579000	579000	
48	576000	576000	696000	456000	576000	576000	
49	573000	573000	693000	453000	573000	573000	
50	570000	570000	690000	450000	570000	570000	
51	591000	567000	687000	567000	567000	567000	
52	588000	564000	684000	564000	564000	564000	
53	633000	561000	681000	681000	681000	561000	
54	630000	558000	678000	678000	678000	558000	
55	675000	675000	675000	675000	675000	675000	
56	696000	672000	672000	672000	672000	792000	
57	717000	669000	669000	789000	669000	789000	
58	714000	666000	666000	786000	666000	786000	
59	711000	663000	663000	783000	663000	783000	
60	708000	660000	660000	780000	660000	780000	
61	729000	657000	657000	777000	777000	777000	
62	726000	654000	654000	774000	774000	774000	
63	723000	651000	651000	771000	771000	771000	
64	768000	768000	768000	768000	768000	768000	
65	789000	765000	765000	765000	765000	885000	
66	786000	762000	762000	762000	762000	882000	
67	783000	759000	759000	759000	759000	879000	
68	804000	756000	756000	876000	756000	876000	
69	825000	753000	753000	993000	753000	873000	
70	846000	750000	750000	1110000	750000	870000	
71	867000	747000	747000	1107000	867000	867000	
72	864000	744000	744000	1104000	864000	864000	
73	885000	741000	741000	1221000	861000	861000	
74	882000	738000	738000	1218000	858000	858000	
75	879000	735000	735000	1215000	855000	855000	
76	876000	732000	732000	1212000	852000	852000	
77	897000	729000	729000	1209000	849000	969000	
78	894000	726000	726000	1206000	846000	966000	
