envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	15000	-9000	111000	-9000	-9000	-9000	
4	12000	-12000	108000	-12000	-12000	-12000	
5	9000	-15000	105000	-15000	-15000	-15000	
6	6000	-18000	102000	-18000	-18000	-18000	
7	3000	-21000	99000	-21000	-21000	-21000	
8	0	-24000	96000	-24000	-24000	-24000	
9	45000	93000	93000	-27000	93000	-27000	
10	42000	90000	90000	-30000	90000	-30000	
11	39000	87000	87000	-33000	87000	-33000	
12	36000	84000	84000	-36000	84000	-36000	
13	33000	81000	81000	-39000	81000	-39000	
14	30000	78000	78000	-42000	78000	-42000	
15	75000	195000	75000	75000	75000	-45000	
16	72000	192000	72000	72000	72000	-48000	
17	117000	309000	69000	189000	69000	-51000	
18	162000	306000	66000	186000	186000	66000	
19	183000	423000	63000	183000	183000	63000	
20	180000	420000	60000	180000	180000	60000	
21	201000	537000	57000	177000	177000	57000	
22	198000	534000	54000	174000	174000	54000	
23	219000	531000	171000	171000	171000	51000	
24	216000	528000	168000	168000	168000	48000	
25	237000	525000	165000	165000	165000	165000	
26	234000	522000	162000	162000	162000	162000	
27	255000	519000	279000	159000	159000	159000	
28	252000	516000	276000	156000	156000	156000	
29	249000	513000	273000	153000	153000	153000	
30	270000	510000	270000	150000	150000	270000	
31	267000	507000	267000	147000	147000	267000	
32	264000	504000	264000	144000	144000	264000	
33	285000	501000	381000	141000	141000	261000	
34	282000	498000	378000	138000	138000	258000	
35	279000	495000	375000	135000	135000	255000	
36	276000	492000	372000	132000	132000	252000	
37	273000	489000	369000	129000	129000	249000	
38	318000	486000	366000	246000	126000	366000	
39	315000	483000	363000	243000	123000	363000	
40	312000	480000	360000	240000	120000	360000	
41	309000	477000	357000	237000	117000	357000	
42	306000	474000	354000	234000	114000	354000	
43	327000	591000	351000	231000	111000	351000	
44	324000	588000	348000	228000	108000	348000	
45	321000	585000	345000	225000	105000	345000	
46	318000	582000	342000	222000	102000	342000	
47	339000	579000	339000	219000	99000	459000	
48	360000	576000	336000	216000	216000	456000	
49	381000	573000	333000	213000	333000	453000	
50	402000	570000	330000	330000	330000	450000	
51	399000	567000	327000	327000	327000	447000	
52	444000	684000	324000	324000	444000	444000	
53	465000	681000	321000	441000	441000	441000	
54	462000	678000	318000	438000	438000	438000	
55	483000	675000	315000	555000	435000	435000	
56	528000	672000	432000	552000	552000	432000	
57	525000	669000	429000	549000	549000	429000	
58	522000	666000	426000	546000	546000	426000	
59	519000	663000	423000	543000	543000	423000	
60	516000	660000	420000	540000	540000	420000	
61	513000	657000	417000	537000	537000	417000	
62	510000	654000	414000	534000	534000	414000	
63	555000	651000	531000	651000	531000	411000	
64	576000	648000	528000	768000	528000	408000	
65	573000	645000	525000	765000	525000	405000	
66	618000	642000	522000	762000	642000	522000	
67	615000	639000	519000	759000	639000	519000	
68	612000	636000	516000	756000	636000	516000	
69	609000	633000	513000	753000	633000	513000	
70	630000	630000	630000	750000	630000	510000	
71	675000	627000	747000	747000	627000	627000	
72	696000	624000	744000	744000	744000	624000	
73	693000	621000	741000	741000	741000	621000	
74	690000	618000	738000	738000	738000	618000	
75	687000	615000	735000	735000	735000	615000	
76	684000	612000	732000	732000	732000	612000	
77	681000	609000	729000	729000	729000	609000	
78	678000	606000	726000	726000	726000	606000	
79	675000	603000	723000	723000	723000	603000	
