envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	6000	-18000	-18000	-18000	102000	-18000	
7	27000	-21000	-21000	-21000	99000	99000	
8	24000	-24000	-24000	-24000	96000	96000	
9	45000	-27000	93000	-27000	93000	93000	
10	42000	-30000	90000	-30000	90000	90000	
11	39000	-33000	87000	-33000	87000	87000	
12	36000	-36000	84000	-36000	84000	84000	
13	33000	-39000	81000	-39000	81000	81000	
14	30000	-42000	78000	-42000	78000	78000	
15	51000	-45000	75000	-45000	195000	75000	
16	48000	-48000	72000	-48000	192000	72000	
17	45000	-51000	69000	-51000	189000	69000	
18	42000	-54000	66000	-54000	186000	66000	
19	63000	-57000	183000	-57000	183000	63000	
20	60000	-60000	180000	-60000	180000	60000	
21	81000	-63000	177000	-63000	297000	57000	
22	78000	-66000	174000	-66000	294000	54000	
23	99000	-69000	291000	-69000	291000	51000	
24	120000	-72000	288000	48000	288000	48000	
25	141000	45000	285000	45000	285000	45000	
26	162000	42000	282000	42000	282000	162000	
27	159000	39000	279000	39000	279000	159000	
28	156000	36000	276000	36000	276000	156000	
29	177000	33000	273000	33000	273000	273000	
30	198000	150000	270000	30000	270000	270000	
31	195000	147000	267000	27000	267000	267000	
32	216000	144000	264000	24000	384000	264000	
33	237000	261000	261000	21000	381000	261000	
34	234000	258000	258000	18000	378000	258000	
35	231000	255000	255000	15000	375000	255000	
36	252000	252000	252000	132000	372000	252000	
37	249000	249000	249000	129000	369000	249000	
38	246000	246000	246000	126000	366000	246000	
39	243000	243000	243000	123000	363000	243000	
40	264000	240000	240000	240000	360000	240000	
41	285000	237000	357000	237000	357000	237000	
42	282000	234000	354000	234000	354000	234000	
43	303000	231000	351000	231000	351000	351000	
44	3e+05	228000	348000	228000	348000	348000	
45	297000	225000	345000	225000	345000	345000	
46	294000	222000	342000	222000	342000	342000	
47	291000	219000	339000	219000	339000	339000	
48	288000	216000	336000	216000	336000	336000	
49	285000	213000	333000	213000	333000	333000	
50	282000	210000	330000	210000	330000	330000	
51	279000	207000	327000	207000	327000	327000	
52	276000	204000	324000	204000	324000	324000	
53	273000	201000	321000	201000	321000	321000	
54	270000	198000	318000	198000	318000	318000	
55	267000	195000	315000	195000	315000	315000	
56	312000	312000	312000	312000	312000	312000	
57	309000	309000	309000	309000	309000	309000	
58	330000	306000	306000	306000	306000	426000	
59	327000	303000	303000	303000	303000	423000	
60	324000	3e+05	3e+05	3e+05	3e+05	420000	
61	345000	297000	297000	297000	297000	537000	
62	390000	414000	414000	294000	294000	534000	
63	387000	411000	411000	291000	291000	531000	
64	408000	408000	408000	408000	288000	528000	
65	405000	405000	405000	405000	285000	525000	
66	402000	402000	402000	402000	282000	522000	
67	399000	399000	399000	399000	279000	519000	
68	396000	396000	396000	396000	276000	516000	
69	393000	393000	393000	393000	273000	513000	
70	390000	390000	390000	390000	270000	510000	
71	387000	387000	387000	387000	267000	507000	
72	384000	384000	384000	384000	264000	504000	
73	381000	381000	381000	381000	261000	501000	
74	402000	378000	378000	498000	258000	498000	
75	399000	375000	375000	495000	255000	495000	
76	420000	372000	492000	492000	252000	492000	
77	417000	369000	489000	489000	249000	489000	
