envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	3000	-21000	-21000	99000	-21000	-21000	
8	0	-24000	-24000	96000	-24000	-24000	
9	21000	-27000	93000	93000	-27000	-27000	
10	18000	-30000	90000	90000	-30000	-30000	
11	15000	-33000	87000	87000	-33000	-33000	
12	12000	-36000	84000	84000	-36000	-36000	
13	9000	-39000	81000	81000	-39000	-39000	
14	54000	-42000	198000	78000	78000	-42000	
15	75000	-45000	195000	75000	195000	-45000	
16	96000	72000	192000	72000	192000	-48000	
17	93000	69000	189000	69000	189000	-51000	
18	90000	66000	186000	66000	186000	-54000	
19	111000	183000	183000	63000	183000	-57000	
20	108000	180000	180000	60000	180000	-60000	
21	105000	177000	177000	57000	177000	-63000	
22	126000	174000	174000	54000	174000	54000	
23	147000	171000	291000	51000	171000	51000	
24	144000	168000	288000	48000	168000	48000	
25	165000	165000	405000	45000	165000	45000	
26	186000	162000	402000	42000	162000	162000	
27	207000	159000	519000	39000	159000	159000	
28	228000	156000	516000	36000	276000	156000	
29	249000	153000	633000	33000	273000	153000	
30	246000	150000	630000	30000	270000	150000	
31	291000	147000	627000	147000	387000	147000	
32	312000	264000	624000	144000	384000	144000	
33	333000	381000	621000	141000	381000	141000	
34	330000	378000	618000	138000	378000	138000	
35	351000	375000	615000	135000	495000	135000	
36	348000	372000	612000	132000	492000	132000	
37	369000	369000	609000	249000	489000	129000	
38	366000	366000	606000	246000	486000	126000	
39	387000	363000	723000	243000	483000	123000	
40	384000	360000	720000	240000	480000	120000	
41	405000	357000	717000	237000	597000	117000	
42	402000	354000	714000	234000	594000	114000	
43	423000	351000	711000	231000	591000	231000	
44	444000	348000	708000	228000	588000	348000	
45	489000	345000	705000	345000	585000	465000	
46	486000	342000	702000	342000	582000	462000	
47	483000	339000	699000	339000	579000	459000	
48	480000	336000	696000	336000	576000	456000	
49	525000	333000	693000	453000	693000	453000	
50	522000	330000	690000	450000	690000	450000	
51	543000	327000	687000	447000	687000	567000	
52	540000	324000	684000	444000	684000	564000	
53	561000	321000	681000	561000	681000	561000	
54	558000	318000	678000	558000	678000	558000	
55	555000	315000	675000	555000	675000	555000	
56	576000	432000	672000	552000	672000	552000	
57	621000	429000	669000	669000	669000	669000	
58	618000	426000	666000	666000	666000	666000	
59	639000	423000	663000	663000	663000	783000	
60	660000	420000	660000	660000	780000	780000	
61	657000	417000	657000	657000	777000	777000	
62	678000	534000	654000	654000	774000	774000	
63	699000	651000	651000	651000	771000	771000	
64	720000	768000	648000	648000	768000	768000	
65	765000	885000	645000	645000	765000	885000	
66	762000	882000	642000	642000	762000	882000	
67	783000	879000	639000	639000	879000	879000	
68	780000	876000	636000	636000	876000	876000	
69	777000	873000	633000	633000	873000	873000	
70	774000	870000	630000	630000	870000	870000	
71	771000	867000	627000	627000	867000	867000	
72	768000	864000	624000	624000	864000	864000	
73	789000	861000	621000	621000	861000	981000	
74	786000	858000	618000	618000	858000	978000	
75	807000	855000	615000	735000	855000	975000	
76	828000	852000	732000	732000	852000	972000	
77	873000	849000	729000	729000	969000	1089000	
78	894000	966000	726000	726000	966000	1086000	
