pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153102	66713
4	cliente_vip	integer	143464	4719775
5	internet	integer	0	2288975
6	cliente_edad	integer	0	87
7	cliente_antiguedad	integer	0	0
8	mrentabilidad	numeric	416314	11270
9	mrentabilidad_annual	numeric	416314	9786
10	mcomisiones	numeric	416314	126501
11	mactivos_margen	numeric	416314	202530
12	mpasivos_margen	numeric	416314	58257
13	cproductos	integer	0	0
14	tcuentas	integer	0	0
15	ccuenta_corriente	integer	0	0
16	mcuenta_corriente_adicional	numeric	0	4880318
17	mcuenta_corriente	numeric	0	2415983
18	ccaja_ahorro	integer	0	0
19	mcaja_ahorro	numeric	0	329575
20	mcaja_ahorro_adicional	numeric	0	4769205
21	mcaja_ahorro_dolares	numeric	0	2094169
22	cdescubierto_preacordado	integer	0	184022
23	mcuentas_saldo	numeric	153102	31788
24	ctarjeta_debito	integer	0	2525
25	ctarjeta_debito_transacciones	integer	153102	1548624
26	mautoservicio	numeric	153102	1548679
27	ctarjeta_visa	integer	0	224914
28	ctarjeta_visa_transacciones	integer	153102	711948
29	mtarjeta_visa_consumo	numeric	153102	711948
30	ctarjeta_master	integer	0	554582
31	ctarjeta_master_transacciones	integer	153102	2992379
32	mtarjeta_master_consumo	numeric	153102	2992379
33	cprestamos_personales	integer	0	3625381
34	mprestamos_personales	numeric	0	3625381
35	cprestamos_prendarios	integer	0	4825394
36	mprestamos_prendarios	numeric	0	4825789
37	cprestamos_hipotecarios	integer	0	4821031
38	mprestamos_hipotecarios	numeric	0	4821031
39	cplazo_fijo	integer	0	4302818
40	mplazo_fijo_dolares	numeric	0	4313253
41	mplazo_fijo_pesos	numeric	0	4861157
42	cinversion1	integer	0	4705380
43	minversion1_pesos	numeric	0	4721292
44	minversion1_dolares	numeric	0	4855108
45	cinversion2	integer	0	4713967
46	minversion2	numeric	0	4714114
47	cseguro_vida	integer	0	4169170
48	cseguro_auto	integer	0	4764876
49	cseguro_vivienda	integer	0	4232042
50	cseguro_accidentes_personales	integer	0	4089357
51	ccaja_seguridad	integer	0	4540397
52	cpayroll_trx	integer	0	2380282
53	mpayroll	numeric	0	2397616
54	mpayroll2	numeric	0	4874879
55	cpayroll2_trx	integer	0	4874872
56	ccuenta_debitos_automaticos	integer	0	2544064
57	mcuenta_debitos_automaticos	numeric	0	2544064
58	ctarjeta_visa_debitos_automaticos	integer	253740	1649565
59	mttarjeta_visa_debitos_automaticos	numeric	126538	1691583
60	ctarjeta_master_debitos_automaticos	integer	0	4074584
