pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153102	66713
4	cliente_vip	integer	143464	4719775
5	internet	integer	0	2288975
6	cliente_edad	integer	0	87
7	cliente_antiguedad	integer	0	0
8	cproductos	integer	0	0
9	tcuentas	integer	0	0
10	ccuenta_corriente	integer	0	0
11	ccaja_ahorro	integer	0	0
12	cdescubierto_preacordado	integer	0	184022
13	ctarjeta_debito	integer	0	2525
14	ctarjeta_debito_transacciones	integer	153102	1548624
15	ctarjeta_visa	integer	0	224914
16	ctarjeta_visa_transacciones	integer	153102	711948
17	ctarjeta_master	integer	0	554582
18	ctarjeta_master_transacciones	integer	153102	2992379
19	cprestamos_personales	integer	0	3625381
20	cprestamos_prendarios	integer	0	4825394
21	cprestamos_hipotecarios	integer	0	4821031
22	cplazo_fijo	integer	0	4302818
23	cinversion1	integer	0	4705380
24	cinversion2	integer	0	4713967
25	cseguro_vida	integer	0	4169170
26	cseguro_auto	integer	0	4764876
27	cseguro_vivienda	integer	0	4232042
28	cseguro_accidentes_personales	integer	0	4089357
29	ccaja_seguridad	integer	0	4540397
30	cpayroll_trx	integer	0	2380282
31	cpayroll2_trx	integer	0	4874872
32	ccuenta_debitos_automaticos	integer	0	2544064
33	ctarjeta_visa_debitos_automaticos	integer	253740	1649565
34	ctarjeta_master_debitos_automaticos	integer	0	4074584
35	cpagodeservicios	integer	0	4705889
36	cpagomiscuentas	integer	0	2597542
37	ccajeros_propios_descuentos	integer	136010	4574530
38	ctarjeta_visa_descuentos	integer	136010	4462756
39	ctarjeta_master_descuentos	integer	136010	4599288
40	ccomisiones_mantenimiento	integer	0	3329323
41	ccomisiones_otras	integer	416314	125871
42	cforex	integer	0	4113187
43	cforex_buy	integer	0	4769259
44	cforex_sell	integer	0	4201354
45	ctransferencias_recibidas	integer	629381	1283250
46	ctransferencias_emitidas	integer	0	2366804
47	cextraccion_autoservicio	integer	153102	2292320
48	ccheques_depositados	integer	153102	4515653
49	ccheques_emitidos	integer	153102	4575632
50	ccheques_depositados_rechazados	integer	153102	4714513
51	ccheques_emitidos_rechazados	integer	153102	4716934
52	tcallcenter	integer	153102	4135742
53	ccallcenter_transacciones	integer	153102	4135742
54	thomebanking	integer	153102	1155344
55	chomebanking_transacciones	integer	289112	1069973
56	ccajas_transacciones	integer	153102	3897747
57	ccajas_consultas	integer	153102	4393036
58	ccajas_depositos	integer	153102	4438511
59	ccajas_extracciones	integer	153102	4200898
60	ccajas_otras	integer	153102	4592804
61	catm_trx	integer	153102	2694879
62	catm_trx_other	integer	153102	3552366
