envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	9000	-15000	-15000	-15000	105000	-15000	
6	6000	-18000	-18000	-18000	102000	-18000	
7	3000	-21000	-21000	-21000	99000	-21000	
8	0	-24000	-24000	-24000	96000	-24000	
9	-3000	-27000	-27000	-27000	93000	-27000	
10	18000	-30000	-30000	-30000	210000	-30000	
11	15000	-33000	-33000	-33000	207000	-33000	
12	12000	-36000	-36000	-36000	204000	-36000	
13	33000	-39000	81000	-39000	201000	-39000	
14	30000	-42000	78000	-42000	198000	-42000	
15	27000	-45000	75000	-45000	195000	-45000	
16	24000	-48000	72000	-48000	192000	-48000	
17	45000	-51000	69000	-51000	309000	-51000	
18	42000	-54000	66000	-54000	306000	-54000	
19	39000	-57000	63000	-57000	303000	-57000	
20	36000	-60000	60000	-60000	3e+05	-60000	
21	33000	-63000	57000	-63000	297000	-63000	
22	30000	-66000	54000	-66000	294000	-66000	
23	27000	-69000	51000	-69000	291000	-69000	
24	72000	-72000	168000	-72000	288000	48000	
25	93000	-75000	165000	-75000	405000	45000	
26	90000	-78000	162000	-78000	402000	42000	
27	87000	-81000	159000	-81000	399000	39000	
28	84000	-84000	156000	-84000	396000	36000	
29	81000	-87000	153000	-87000	393000	33000	
30	78000	-90000	150000	-90000	390000	30000	
31	75000	-93000	147000	-93000	387000	27000	
32	72000	-96000	144000	-96000	384000	24000	
33	69000	-99000	141000	-99000	381000	21000	
34	66000	-102000	138000	-102000	378000	18000	
35	111000	15000	135000	-105000	375000	135000	
36	132000	12000	132000	12000	372000	132000	
37	129000	9000	129000	9000	369000	129000	
38	126000	6000	126000	6000	366000	126000	
39	123000	3000	123000	3000	363000	123000	
40	120000	0	120000	0	360000	120000	
41	117000	-3000	117000	-3000	357000	117000	
42	138000	-6000	234000	-6000	354000	114000	
43	135000	-9000	231000	-9000	351000	111000	
44	132000	-12000	228000	-12000	348000	108000	
45	129000	-15000	225000	-15000	345000	105000	
46	126000	-18000	222000	-18000	342000	102000	
47	123000	-21000	219000	-21000	339000	99000	
48	168000	-24000	336000	-24000	456000	96000	
49	213000	93000	333000	-27000	453000	213000	
50	210000	90000	330000	-30000	450000	210000	
51	231000	87000	327000	87000	447000	207000	
52	228000	84000	324000	84000	444000	204000	
53	225000	81000	321000	81000	441000	201000	
54	222000	78000	318000	78000	438000	198000	
55	219000	75000	315000	75000	435000	195000	
56	216000	72000	312000	72000	432000	192000	
57	213000	69000	309000	69000	429000	189000	
58	234000	66000	306000	186000	426000	186000	
59	255000	63000	303000	183000	423000	303000	
60	276000	60000	3e+05	180000	420000	420000	
61	273000	57000	297000	177000	417000	417000	
62	294000	54000	294000	174000	414000	534000	
63	291000	51000	291000	171000	411000	531000	
64	288000	48000	288000	168000	408000	528000	
65	333000	45000	405000	165000	405000	645000	
66	354000	162000	402000	162000	402000	642000	
67	399000	159000	519000	159000	519000	639000	
68	396000	156000	516000	156000	516000	636000	
69	417000	153000	513000	153000	633000	633000	
70	414000	150000	510000	150000	630000	630000	
71	411000	147000	507000	147000	627000	627000	
72	432000	144000	504000	264000	624000	624000	
73	429000	141000	501000	261000	621000	621000	
74	426000	138000	498000	258000	618000	618000	
75	423000	135000	495000	255000	615000	615000	
