Feature	Gain	Cover	Frequency
ctrx_quarter	0.143863067311889	0.0240004643476407	0.015452283118236
mcuentas_saldo_rank	0.0569309637215413	0.0124107610812145	0.0198506858035766
cprestamos_personales_lag1	0.0352998024469675	0.00272627478157424	0.000925979512703281
cpayroll_trx	0.0348598532270186	0.00925109984456278	0.00379072863012906
mpayroll_rank	0.0245214380214507	0.0292199127980382	0.0119219862260547
mcuenta_corriente_rank_lag1	0.0236060968083731	0.00854597041642584	0.00775507841888998
ctarjeta_master	0.0217168085474362	0.000691549714657673	0.000578737195439551
mpasivos_margen_rank	0.0159095176601156	0.0126793125410337	0.0178251056195382
mactivos_margen_rank	0.0123481431720084	0.00837887120034567	0.00920192140748886
mrentabilidad_annual_rank_delta1	0.0106239113292096	0.0063291144567834	0.010330458938596
mrentabilidad_annual_rank	0.00993017478663891	0.00686657650934026	0.00879680537068117
mrentabilidad_annual_rank_lag1	0.00944448339832539	0.00579066759442671	0.0104751432374559
mtarjeta_visa_consumo_rank	0.00928778927109287	0.00905535837537246	0.0111406910122114
mcomisiones_mantenimiento_rank	0.00892598114382126	0.00887807016559395	0.00902830024885699
Visa_msaldopesos_rank	0.00889463301113232	0.00684791983479886	0.00821806817524162
numero_de_cliente	0.00836159451509997	0.00950678985673963	0.0119219862260547
Visa_fechaalta_lag1	0.00823141040781968	0.00529255584797455	0.00813125759592569
ccomisiones_mantenimiento_delta1	0.00805465298895686	0.00298097296963643	0.00211239076335436
cliente_edad	0.00799875765069348	0.00873539619655794	0.0116904913478789
mcuentas_saldo_rank_delta1	0.0075888534199434	0.0109410797555652	0.0130794606169339
ctrx_quarter_delta1	0.00724462973428148	0.00663401549883001	0.00853637363273338
Visa_mfinanciacion_limite_rank_delta1	0.00709633737918728	0.00552874045351754	0.00972278488338446
cliente_edad_lag1	0.00678031876083761	0.00962450128221675	0.010301522078824
mcaja_ahorro_rank	0.00670221314910281	0.00664927584213864	0.0132820186353377
Master_Fvencimiento	0.0065388424511911	0.00594190463898725	0.00905723710862897
