envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
1	-3000	-3000	-3000	-3000	-3000	-3000	
2	-6000	-6000	-6000	-6000	-6000	-6000	
3	-9000	-9000	-9000	-9000	-9000	-9000	
4	-12000	-12000	-12000	-12000	-12000	-12000	
5	-15000	-15000	-15000	-15000	-15000	-15000	
6	-18000	-18000	-18000	-18000	-18000	-18000	
7	3000	-21000	-21000	99000	-21000	-21000	
8	24000	96000	-24000	96000	-24000	-24000	
9	21000	93000	-27000	93000	-27000	-27000	
10	18000	90000	-30000	90000	-30000	-30000	
11	15000	87000	-33000	87000	-33000	-33000	
12	12000	84000	-36000	84000	-36000	-36000	
13	9000	81000	-39000	81000	-39000	-39000	
14	6000	78000	-42000	78000	-42000	-42000	
15	3000	75000	-45000	75000	-45000	-45000	
16	0	72000	-48000	72000	-48000	-48000	
17	-3000	69000	-51000	69000	-51000	-51000	
18	18000	66000	-54000	66000	66000	-54000	
19	15000	63000	-57000	63000	63000	-57000	
20	12000	60000	-60000	60000	60000	-60000	
21	9000	57000	-63000	57000	57000	-63000	
22	6000	54000	-66000	54000	54000	-66000	
23	27000	51000	-69000	51000	51000	51000	
24	24000	48000	-72000	48000	48000	48000	
25	21000	45000	-75000	45000	45000	45000	
26	18000	42000	-78000	42000	42000	42000	
27	15000	39000	-81000	39000	39000	39000	
28	36000	36000	36000	36000	36000	36000	
29	57000	33000	33000	33000	33000	153000	
30	54000	30000	30000	30000	30000	150000	
31	75000	27000	27000	147000	27000	147000	
32	96000	24000	144000	144000	24000	144000	
33	117000	21000	141000	141000	21000	261000	
34	114000	18000	138000	138000	18000	258000	
35	111000	15000	135000	135000	15000	255000	
36	132000	12000	252000	132000	12000	252000	
37	129000	9000	249000	129000	9000	249000	
38	126000	6000	246000	126000	6000	246000	
39	123000	3000	243000	123000	3000	243000	
40	120000	0	240000	120000	0	240000	
41	189000	-3000	237000	237000	117000	357000	
42	210000	114000	234000	234000	114000	354000	
43	231000	111000	351000	231000	111000	351000	
44	228000	108000	348000	228000	108000	348000	
45	225000	105000	345000	225000	105000	345000	
46	222000	102000	342000	222000	102000	342000	
47	243000	219000	339000	219000	99000	339000	
48	264000	336000	336000	216000	96000	336000	
49	285000	333000	333000	213000	213000	333000	
50	306000	330000	330000	330000	210000	330000	
51	303000	327000	327000	327000	207000	327000	
52	3e+05	324000	324000	324000	204000	324000	
53	321000	441000	321000	321000	201000	321000	
54	342000	438000	318000	318000	198000	438000	
55	339000	435000	315000	315000	195000	435000	
56	360000	432000	312000	312000	312000	432000	
57	357000	429000	309000	309000	309000	429000	
58	354000	426000	306000	306000	306000	426000	
59	399000	423000	303000	423000	303000	543000	
60	396000	420000	3e+05	420000	3e+05	540000	
61	393000	417000	297000	417000	297000	537000	
62	390000	414000	294000	414000	294000	534000	
63	387000	411000	291000	411000	291000	531000	
64	384000	408000	288000	408000	288000	528000	
65	405000	405000	285000	525000	285000	525000	
66	426000	402000	402000	522000	282000	522000	
67	423000	399000	399000	519000	279000	519000	
68	420000	396000	396000	516000	276000	516000	
69	441000	393000	513000	513000	273000	513000	
70	438000	390000	510000	510000	270000	510000	
71	435000	387000	507000	507000	267000	507000	
72	432000	384000	504000	504000	264000	504000	
73	429000	381000	501000	501000	261000	501000	
74	426000	378000	498000	498000	258000	498000	
75	447000	495000	495000	495000	255000	495000	
76	444000	492000	492000	492000	252000	492000	
77	441000	489000	489000	489000	249000	489000	
