Feature	Gain	Cover	Frequency
ctrx_quarter	0.139567288029726	0.0168188797625337	0.0169864808907778
cpayroll_trx	0.0338290370556501	0.00871448471915151	0.00369033913807147
ctrx_quarter_lag1	0.0329016621236248	0.00993936067112313	0.0123860704486197
mcuentas_saldo_rank	0.0295415283579448	0.0124377479604886	0.0171138908733499
mpayroll_rank	0.0233603548064356	0.0205827350781659	0.00954664797986922
mpasivos_margen_rank	0.0231819453011941	0.0110548910953209	0.0198668565682121
mcaja_ahorro_rank	0.017661469230745	0.00546748518249753	0.012399721518181
mtarjeta_visa_consumo_rank	0.0141335975665032	0.0117442574710028	0.0113895423706447
mprestamos_personales_rank	0.0119263717519197	0.012133940763864	0.0030669402947721
mrentabilidad_annual_rank_delta1	0.0115853835375792	0.00586421938585774	0.0109572585012036
mrentabilidad_annual_rank_lag1	0.0101204695471738	0.00622650125469479	0.0108526003012336
mactivos_margen_rank	0.00939959435063403	0.00846207239818951	0.00975596437980916
numero_de_cliente	0.00890991239536157	0.00836630564064312	0.0119628872922193
mprestamos_personales_rank_lag1	0.00882496725996998	0.00457023656248484	0.00178373975600988
mcuenta_corriente_rank	0.00867870769074275	0.00699904918152041	0.00720776472836647
cliente_edad_lag1	0.00844918078856768	0.0103081446154957	0.0130322210745212
mcuenta_corriente_rank_lag1	0.00839171305218566	0.0055904344892274	0.00690289084149743
mcomisiones_mantenimiento_rank	0.00801016679828279	0.00956575042988846	0.00863202631926211
cliente_edad	0.00798381871275636	0.00831814134987341	0.0115852077010234
mrentabilidad_annual_rank	0.00798107575785741	0.00576788595766552	0.00970591045808439
mcuentas_saldo_rank_delta1	0.00774271470627014	0.00917034731125431	0.0120356929965463
ctrx_quarter_delta1	0.00712225752612754	0.00595898695746208	0.00824524601502528
cprestamos_personales	0.00711874111298489	0.00401083318173827	0.000946474156250142
ccomisiones_mantenimiento_delta1	0.00710349983778118	0.00310554338312565	0.00207496257331762
Visa_msaldopesos_rank	0.00698142683296908	0.00688085385959279	0.00828619922370918
chomebanking_transacciones	0.00691838307760559	0.00492712022942896	0.00799952676292187
Master_Fvencimiento	0.00691148255049295	0.00421338565891367	0.00862747596274168
Visa_fechaalta_lag1	0.00678216234278445	0.0057075272945752	0.00879128879747728
cprestamos_personales_lag1	0.00671008920896548	0.00369717041357004	0.000882769164964075
Visa_Fvencimiento	0.0064107372041678	0.00536210848177166	0.00831350136283178
Visa_status	0.00627147656566102	0.00195289360829987	0.00113303877358791
cproductos_delta1	0.00609907159618154	0.00709460229861121	0.00136055659960958
mcaja_ahorro_rank_lag1	0.00604793660331865	0.00452851386102368	0.0106523846143345
Master_mlimitecompra_rank_delta1	0.00597734174139075	0.0041073932394156	0.00871848309315035
Visa_mfinanciacion_limite_rank_delta1	0.00595755107474029	0.00440857141769332	0.00878218808443642
Master_Fvencimiento_lag1	0.00592037596787676	0.00564492928402339	0.00746713505003117
mpasivos_margen_rank_lag1	0.00587989612580563	0.00650219747732485	0.0108753520838358
Visa_Fvencimiento_lag1	0.00587078601350995	0.00612862852957207	0.00772195501517544
Visa_mpagominimo_rank	0.0058074869019593	0.00562996824841622	0.010520424275242
Master_fechaalta_lag1	0.00574050739261332	0.00572943939963366	0.00873668451923208
Visa_fechaalta	0.00569416411430287	0.00526129752185313	0.00920082088431629
Visa_mlimitecompra_rank_delta1	0.00569119457526547	0.00362409432738852	0.00862747596274168
mactivos_margen_rank_delta1	0.00558453400118313	0.00414436912912066	0.00788576784991104
mtransferencias_recibidas_rank	0.00555881026851638	0.00448687704225021	0.0075399407543581
mcuenta_corriente_rank_delta1	0.00554019966421491	0.00550191619174835	0.00662076873723056
cliente_antiguedad	0.00552481319267489	0.0068769573446046	0.0103884639361494
Master_mfinanciacion_limite_rank_delta1	0.00541532991602564	0.00520169435500187	0.00806323175420794
Master_fechaalta	0.00528889674870906	0.00525589951382631	0.00895510163221288
mpasivos_margen_rank_delta1	0.00522747130921511	0.00330782270294902	0.00736702720658164
mcuentas_saldo_rank_lag1	0.0051889067634792	0.00540640708226501	0.00878218808443642
chomebanking_transacciones_lag1	0.00504955173516366	0.00328708154920798	0.0067891319284866
